"ORDER_SEQID","C_CODE","SHORT_NAME","PO_NO_TYPE","PO_NO","C_PART_NO","PART_NO","PN_DESC","C_PRICE","IS_TAX","TAX_RATE","SPEC_DESC","COMM_DESC","AMOUNT","MONEY","DELIVERY_AMOUNT","COMM_DELIVERY_AMOUNT","SELF_DELIVERY_AMOUNT","LOCK_AMOUNT","SELF_LOCK_AMOUNT","COMM_LOCK_AMOUNT","ORG_DELIVERY_DATE","PRE_DELIVERY_DATE","VER_DELIVERY_DATE","PERIOD","RLT_ORDER_PO_NO","VENDOR_CODE","STATE","ACTIVE_STATE","RLT_SEND_PO_NO","DELIVERY_HOUSE_TYPE","SETTLEMENT_TYPE","STAFF_ID","STAFF_NAME","SALES_ID","SALES","CONTACT_FEE","C_PRICE_TAX","ORDERAMOUNT"
130,"GC0006","喜恩碧","0","PO1005-190","LC00022EK1","ELJFB220KF-G","4532 22UH +/-10%",0.50307075,"1",0.17,"",NULL,6000,3018.4245,0,0,0,0,0,0,"2010-07-05",NULL,NULL,"201008","P10031938RVE.01","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","3","吴松",0,0.17,6000
131,"GC0006","喜恩碧","0","PO1006-074","LC00068CK1","ELJFC680KF-G","2520 68UH +/-10%",0.21067371,"1",0.17,"",NULL,18000,3792.1268,0,0,0,0,0,0,"2010-07-10",NULL,NULL,"201008","P10031938RVE.01","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","3","吴松",0,0.17,18000
132,"GC0006","喜恩碧","0","PO1006-101","LC002R2DM2","ELJPA2R2MF-G","3225 2.2UH +/-20%低内阻",0.21067371,"1",0.17,"",NULL,20000,4213.4742,0,0,0,0,0,0,"2010-07-20",NULL,NULL,"201008","P10031938RVE.01","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","3","吴松",0,0.17,20000
133,"GC0006","喜恩碧","0","PO1006-201","LC00022EK1","ELJFB220KF-G","4532 22UH +/-10%",0.50307075,"1",0.17,"",NULL,1000,503.0708,0,0,0,0,0,0,"2010-08-05",NULL,NULL,"201008","P10031938RVE.01","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","3","吴松",0,0.17,1000
134,"GC0006","喜恩碧","0","PO1006-201","LC004R7DM2","ELJPA4R7MF-G","3225 4.7UH +/-20%低内阻",0.21067371,"1",0.17,"",NULL,20000,4213.4742,0,0,0,0,0,0,"2010-08-05",NULL,NULL,"201008","P10031938RVE.01","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","3","吴松",0,0.17,20000
135,"GC0006","喜恩碧","0","PO1007-111","LC002R2CM2","ELJPC2R2MF-G","2520 2.2UH +/-20%低内阻",0.21067371,"1",0.17,"",NULL,20000,4213.4742,0,0,0,0,0,0,"2010-09-01",NULL,NULL,"201008","P10031938RVE.01","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","3","吴松",0,0.17,20000
136,"GC0070","富视安","0","PO10080216","09-50-R1100","ELJPB100KF-G","4532 10UH +/-10%低内阻",0.45,"1",0.17,"",NULL,3000,1350,0,0,0,0,0,0,"2010-08-03",NULL,NULL,"201008","P10031938RVE.01","GV0001","20","ACTIVE",NULL,"1","1","8","谢冰冰","4","曾湘杰",0,0.17,3000
137,"GC0113","同创时代","0","TTL100714-022","ELJPC2R2MF","ELJPC2R2MF-G","2520 2.2UH +/-20%低内阻",0.0226,"0",0,"",NULL,4000,90.4,0,0,0,0,0,0,"2010-08-30",NULL,NULL,"201008","P10031938RVE.01","GV0001","20","ACTIVE",NULL,"1","3","8","谢冰冰","8","谢冰冰",0,0,4000
138,"GC0016","飞歌汽车音响","0","FA-PO-A2010061901","DZ03V0025R0","GCRH5D28-100M","5D28 10UH",0.65,"1",0.17,"",NULL,4000,2600,0,0,0,0,0,0,"2010-09-02",NULL,NULL,"201008","P10032066","GV0005","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0.17,4000
139,"GC0016","飞歌汽车音响","0","FA-PO-A2010061901","DZ03V0033R0","GCRH5D28-470NC","5D28 47UH +/-25%",0.65,"1",0.17,"",NULL,82000,53300,0,0,0,0,0,0,"2010-09-02",NULL,NULL,"201008","P10032066","GV0005","20","ACTIVE",NULL,"1","1","8","谢冰冰","5","周石富 ",0,0.17,82000
