"ORDER_SEQID","C_CODE","SHORT_NAME","PO_NO_TYPE","PO_NO","C_PART_NO","PART_NO","PN_DESC","C_PRICE","IS_TAX","TAX_RATE","SPEC_DESC","COMM_DESC","AMOUNT","MONEY","DELIVERY_AMOUNT","PERIOD","ORG_DELIVERY_DATE","VER_DELIVERY_DATE","RLT_ORDER_PO_NO","STATE","ACTIVE_STATE","RLT_REC_PO_NO","STAFF_ID","STAFF_NAME","SETTLEMENT_TYPE","CUST_C_CODE","C_PRICE_TAX","HASTEN_REMINDER"
202,"GV0001","科翔兴","0","P10032477","ELJPA560KF","ELJPA560KF-G","3225 56UH",0.0192,"0",0,"机型：872EC 生产单号：RYE-100330-02",NULL,10000,192,0,"201008","2010-08-10",NULL,"2010061003","04","ACTIVE",NULL,"8","谢冰冰","1","GC0064",0,NULL
203,"GV0001","科翔兴","0","P10032477","ELJPA560KF","ELJPA560KF-G","3225 56UH",0.0192,"0",0,"",NULL,10000,192,0,"201008","2010-08-10",NULL,"2010070104","04","ACTIVE",NULL,"8","谢冰冰","1","GC0064",0,NULL
204,"GV0001","科翔兴","0","P10032477","ELJPA560KF","ELJPA560KF-G","3225 56UH",0.0192,"0",0,"",NULL,10000,192,0,"201008","2010-08-10",NULL,"2010080501","04","ACTIVE",NULL,"8","谢冰冰","1","GC0064",0,NULL
205,"GV0005","今凯","0","P10032491","CKRH74-102M","GCRH74-102M","74 1000UH +/-20%",0.6,"1",0.17,"",NULL,3000,1800,0,"201008","2010-08-10",NULL,"FA-PO-A20100713007","04","ACTIVE",NULL,"8","谢冰冰","1","GC0016",0.17,NULL
206,"GV0005","今凯","0","P10032491","CKRH74-102M","GCRH74-102M","74 1000UH +/-20%",0.6,"1",0.17,"",NULL,3000,1800,0,"201008","2010-08-10",NULL,"FA-PO-A20100713007","04","ACTIVE",NULL,"8","谢冰冰","1","GC0016",0.17,NULL
207,"GV0005","今凯","0","P10032491","CKRH125-470M","GCRH125-470M","125 47UH +/-20%",0.66,"1",0.17,"",NULL,3000,1980,0,"201008","2010-08-10",NULL,"FA-PO-A20100713007","04","ACTIVE",NULL,"8","谢冰冰","1","GC0016",0.17,NULL
208,"GV0005","今凯","0","P10032491","CKRH125-470M","GCRH125-470M","125 47UH +/-20%",0.66,"1",0.17,"",NULL,2500,1650,0,"201008","2010-08-10",NULL,"FA-PO-A20100713007","04","ACTIVE",NULL,"8","谢冰冰","1","GC0016",0.17,NULL
209,"GV0014","科宏茂","0","P10032561","SDFL1608LR15KT(f)","SDFL1608LR15KT(f)","0603 150NH +/-10%",0.033,"0",0,"",NULL,36000,1188,0,"201008","2010-09-01",NULL,"PG4865","04","ACTIVE",NULL,"8","谢冰冰","1","GC0069",0,NULL
210,"GV0014","科宏茂","0","P10032561","SDFL1608LR15KT(f)","SDFL1608LR15KT(f)","0603 150NH +/-10%",0.033,"0",0,"",NULL,56000,1848,0,"201008","2010-09-01",NULL,"PG4865","04","ACTIVE",NULL,"8","谢冰冰","1","GC0069",0,NULL
211,"GV0005","今凯","0","P10032588","CKRH2D18A/HP-4R7NC","GCRH2D18A/HP-4R7NC","2D18A/HP 4.7UH 高度2MM DCR小于78M欧 可耐电流0.63A +/-25% 对角型脚位",0.473,"1",0.17,"",NULL,100000,47300,0,"201008","2010-08-20",NULL,"PO2010070191","04","ACTIVE",NULL,"8","谢冰冰","1","GC0048",0.17,NULL
212,"GV0005","今凯","0","P10032615","CKD52-4R7NC","GCD52-4R7NC","52 4.7UH +/-25%",0.324,"1",0.17,"",NULL,826,267.62,0,"201008","2010-09-20",NULL,"PG4907","04","ACTIVE",NULL,"8","谢冰冰","1","GC0069",0.17,NULL
213,"GV0005","今凯","0","P10032666","CKRH2D14AT-1R5NC","GCRH2D14AT-1R5NC","2000mA 1.5UH 对角型脚位 +/-30%",0.473,"1",0.17,"",NULL,1000,473,0,"201008","2010-08-15",NULL,"1007B0000642","04","ACTIVE",NULL,"8","谢冰冰","1","GC0120",0.17,NULL
214,"GV0005","今凯","0","P10032666","CKRH3D28A-101NC","GCRH3D28/LD-101NC","3D28 100UH +/-25% 半月型脚位\r\n",0.48,"1",0.17,"",NULL,2500,1200,0,"201008","2010-08-15",NULL,"201007026004","04","ACTIVE",NULL,"8","谢冰冰","1","GC0127",0.17,NULL
215,"GV0005","今凯","0","P10032666","CKRH104R-101NC","GCRH104R-101NC","104R 100UH +/-25%\r\n",0.68,"1",0.17,"",NULL,2000,1360,0,"201008","2010-08-10",NULL,"CG-10-07-29-1525","04","ACTIVE",NULL,"8","谢冰冰","1","GC0049",0.17,NULL
216,"GV0003","华龙东光","0","P10032709","#FSLM2520-2R7J=P2","#FSLM2520-2R7J=P2","TOKO",0.028,"0",0,"",NULL,60000,1680,0,"201008","2010-11-01",NULL,"1007447","04","ACTIVE",NULL,"8","谢冰冰","1","GC0013",0,NULL
217,"GV0003","华龙东光","0","P10032709","#FSLM2520-2R7J=P2","#FSLM2520-2R7J=P2","TOKO",0.028,"0",0,"",NULL,60000,1680,0,"201008","2010-12-01",NULL,"1007447","04","ACTIVE",NULL,"8","谢冰冰","1","GC0013",0,NULL
218,"GV0003","华龙东光","0","P10032709","#FSLM2520-2R7J=P2","#FSLM2520-2R7J=P2","TOKO",0.028,"0",0,"",NULL,70000,1960,0,"201008","2011-01-03",NULL,"1007447","04","ACTIVE",NULL,"8","谢冰冰","1","GC0013",0,NULL
219,"GV0003","华龙东光","0","P10032709","#FSLM2520-2R7J=P2","#FSLM2520-2R7J=P2","TOKO",0.028,"0",0,"",NULL,70000,1960,0,"201008","2011-02-09",NULL,"1007447","04","ACTIVE",NULL,"8","谢冰冰","1","GC0013",0,NULL
220,"GV0003","华龙东光","0","P10032709","#FSLM2520-2R7J=P2","#FSLM2520-2R7J=P2","TOKO",0.028,"0",0,"",NULL,40000,1120,0,"201008","2011-03-01",NULL,"1007447","04","ACTIVE",NULL,"8","谢冰冰","1","GC0013",0,NULL
